Time(ms) photo_num Photo_Time speed steer_pos servo_pos sonar_dist lon lat gps_time magx magy magz gyroz delta_enc_counts
2188 11 0 0 570 51 0 -1 -1 -1 35.5 -34.0 -83.3 -0.01 1
2226 12 0 0 570 54 1203 -1 -1 -1 35.5 -33.3 -82.8 -0.01 0
2264 12 0 0 570 57 849 -1 -1 -1 35.5 -33.3 -82.8 -0.01 0
2303 12 0 0 570 60 846 -1 -1 -1 35.3 -33.9 -83.0 0.0 0
2341 12 0 0 570 63 895 -1 -1 -1 35.3 -33.9 -83.0 -0.01 0
2378 12 0 0 570 66 850 -1 -1 -1 35.6 -34.2 -83.0 -0.01 0
2417 13 0 0 570 69 829 -1 -1 -1 35.6 -34.2 -83.0 -0.01 0
2455 13 0 0 570 72 923 -1 -1 -1 35.5 -34.0 -83.3 -0.01 0
2494 13 0 0 570 75 1090 -1 -1 -1 35.4 -33.7 -83.1 -0.01 0
2532 13 0 0 570 78 1348 -1 -1 -1 35.4 -33.7 -83.1 -0.01 0
2570 13 0 0 570 81 0 -1 -1 -1 35.6 -33.8 -83.5 -0.01 0
2608 14 0 0 570 84 2731 -1 -1 -1 35.6 -33.8 -83.5 -0.01 0
2647 14 0 0 570 87 2713 -1 -1 -1 35.5 -34.0 -82.9 -0.01 0
2685 14 0 0 570 90 2397 -1 -1 -1 35.5 -34.0 -82.9 -0.01 0
2723 14 0 0 570 93 0 -1 -1 -1 35.7 -33.6 -83.0 -0.01 0
2761 14 0 0 570 96 0 -1 -1 -1 35.7 -33.6 -83.2 -0.01 0
2799 15 0 0 570 99 0 -1 -1 -1 35.4 -33.0 -83.2 -0.01 0
2837 15 0 0 570 102 0 -1 -1 -1 35.5 -33.6 -83.0 -0.01 0
2875 15 0 0 570 105 0 -1 -1 -1 35.5 -33.6 -83.0 -0.01 0
2914 15 0 0 570 108 3172 -1 -1 -1 35.5 -33.5 -83.2 -0.01 0
2951 15 0 0 570 111 0 -1 -1 -1 35.5 -33.5 -83.2 -0.01 0
2990 15 0 0 570 114 0 -1 -1 -1 35.2 -33.3 -83.2 -0.01 0
3028 16 0 0 570 117 2732 -1 -1 -1 35.2 -33.3 -83.2 -0.01 0
3065 16 0 0 570 120 2616 -1 -1 -1 35.1 -33.7 -82.9 -0.01 0
3104 16 0 0 570 117 2261 -1 -1 -1 35.4 -33.8 -83.2 -0.01 0
3143 16 0 0 570 114 2297 -1 -1 -1 35.4 -33.8 -83.2 -0.01 0
3181 16 0 0 570 111 0 -1 -1 -1 35.3 -33.6 -83.3 0.0 0
3219 17 0 0 570 108 0 -1 -1 -1 35.3 -33.6 -83.3 -0.01 0
3257 17 0 0 570 105 0 -1 -1 -1 35.7 -34.3 -82.8 -0.01 0
3296 17 0 0 570 102 0 -1 -1 -1 35.7 -34.3 -82.8 0.0 0
3333 17 0 0 570 99 0 -1 -1 -1 35.3 -34.1 -82.6 -0.01 0
3371 17 0 0 570 96 3156 -1 -1 -1 35.3 -34.1 -82.6 -0.01 0
3410 18 0 0 570 93 0 -1 -1 -1 35.4 -33.7 -83.1 -0.01 0
3448 18 0 0 570 90 0 -1 -1 -1 35.7 -33.5 -82.9 -0.01 0
3486 18 0 0 570 87 0 -1 -1 -1 35.7 -33.5 -82.9 -0.01 0
3525 18 0 0 570 84 0 -1 -1 -1 35.8 -34.0 -83.0 -0.01 0
3563 18 0 0 570 81 2470 -1 -1 -1 35.8 -34.0 -83.0 -0.01 0
3602 19 0 0 570 78 0 -1 -1 -1 35.8 -34.0 -82.7 -0.01 0
3641 19 0 0 570 75 2733 -1 -1 -1 35.8 -34.0 -82.7 -0.01 0
3678 19 0 0 570 72 0 -1 -1 -1 35.9 -33.9 -82.8 -0.01 0
3716 19 0 0 570 69 0 -1 -1 -1 35.9 -33.6 -83.7 -0.01 0
3753 19 0 0 570 66 1341 -1 -1 -1 35.5 -33.6 -83.7 -0.01 0
3792 19 0 0 570 63 971 -1 -1 -1 35.2 -33.8 -82.9 -0.01 0
3831 19 0 0 570 60 827 -1 -1 -1 35.2 -33.8 -82.9 -0.01 0
3868 20 0 0 570 57 840 -1 -1 -1 35.5 -33.8 -83.2 -0.01 0
3906 20 0 0 570 54 865 -1 -1 -1 35.5 -33.8 -83.2 -0.01 0
3945 20 0 0 570 51 884 -1 -1 -1 35.2 -34.0 -83.0 -0.01 0
3982 20 0 0 570 48 894 -1 -1 -1 35.2 -34.0 -83.0 -0.01 0
4021 20 0 0 570 45 810 -1 -1 -1 35.1 -33.8 -83.5 -0.01 0
4059 20 0 0 570 42 754 -1 -1 -1 35.2 -33.9 -83.2 -0.01 0
4096 21 0 0 570 45 644 -1 -1 -1 35.2 -33.9 -83.2 -0.01 0
4135 21 0 0 570 48 643 -1 -1 -1 35.3 -33.9 -83.1 -0.01 0
4172 21 0 0 570 51 700 -1 -1 -1 35.3 -33.9 -83.1 -0.01 0
4211 21 0 0 570 54 836 -1 -1 -1 35.6 -33.9 -82.8 -0.01 0
4250 21 0 0 570 57 867 -1 -1 -1 35.6 -33.9 -82.8 -0.01 0
4288 21 0 0 570 60 889 -1 -1 -1 35.7 -34.0 -83.0 -0.01 0
4326 22 0 0 570 63 870 -1 -1 -1 35.7 -34.0 -83.0 -0.01 0
4364 22 0 0 570 66 849 -1 -1 -1 35.6 -33.2 -83.0 -0.01 0
4402 22 0 0 570 69 830 -1 -1 -1 35.5 -33.5 -82.8 -0.01 0
4440 22 0 0 570 72 905 -1 -1 -1 35.5 -33.5 -82.8 -0.01 0
4478 22 0 0 570 75 1110 -1 -1 -1 35.5 -33.3 -82.8 -0.01 0
4517 23 0 0 570 78 0 -1 -1 -1 35.5 -33.3 -82.8 -0.01 0
4554 23 0 0 570 81 33 -1 -1 -1 35.8 -34.0 -82.9 -0.01 0
4593 23 0 0 570 84 0 -1 -1 -1 35.8 -34.0 -82.9 -0.01 0
4631 23 0 0 570 87 0 -1 -1 -1 35.4 -33.7 -83.4 -0.01 0
